Rs,u2,Tmax,Tmin,RH,pr,ETo
12.8,0.5,30.5,24.6,89.1,11.1,2.8
14.5,0.8,30.2,24.2,89.2,16.5,3.1
12.7,0.8,28.9,24.0,91.8,7.3,2.7
17.0,0.1,30.1,24.4,87.6,6.1,3.5
13.2,0.4,30.1,23.8,91.1,7.2,2.8
14.2,1.0,30.2,23.4,93.2,19.7,3.0
19.8,0.5,31.8,24.8,88.4,13.4,4.1
13.3,0.4,30.5,24.2,90.6,8.9,2.8
11.7,0.8,29.3,24.2,89.5,10.6,2.6
18.1,1.1,30.5,23.2,87.1,3.2,3.7
14.5,0.6,30.7,23.7,90.0,3.1,3.1
17.2,0.1,30.9,24.0,89.4,5.3,3.5
12.0,0.3,29.5,24.2,91.8,5.1,2.6
12.1,0.6,30.0,24.2,93.5,13.5,2.6
19.8,0.1,32.1,24.2,87.8,11.8,4.1
18.8,0.8,32.1,24.0,89.2,5.2,3.9
18.2,0.3,30.9,23.8,87.5,18.5,3.7
16.1,0.1,31.2,24.2,88.2,2.8,3.4
21.4,0.6,32.1,24.8,87.4,4.2,4.4
16.8,0.4,30.3,24.8,88.9,9.1,3.5
15.7,0.6,30.5,24.2,89.6,27.7,3.3
17.3,0.4,30.3,24.2,88.5,13.4,3.5
14.3,0.8,29.1,24.2,90.2,16.3,3.0
12.1,0.3,30.0,24.2,88.8,26.9,2.6
9.4,0.1,29.2,24.4,93.9,23.9,2.1
12.5,0.8,30.1,24.6,90.5,26.2,2.7
17.2,1.4,30.8,24.2,88.6,4.0,3.6
19.6,0.4,31.0,24.2,88.1,3.4,4.0
18.2,0.3,31.2,24.5,88.0,8.1,3.7
15.1,0.8,29.7,24.5,89.0,21.0,3.2
18.7,0.9,31.7,24.5,87.9,7.7,3.9
15.3,0.4,31.3,24.5,89.6,8.8,3.2
19.2,0.6,31.8,24.0,85.8,9.2,4.0
17.0,1.1,31.5,24.7,87.0,10.8,3.6
10.7,0.1,29.3,23.4,88.9,22.3,2.3
20.3,0.6,31.5,23.5,86.4,19.6,4.1
10.3,0.1,28.9,23.7,89.8,7.7,2.2
13.5,0.2,29.1,23.5,89.4,10.3,2.8
16.5,0.4,31.5,24.0,89.4,4.2,3.4
14.5,0.3,30.7,24.6,90.0,6.6,3.1
20.2,0.1,31.5,23.7,86.6,14.3,4.0
19.8,0.1,32.3,23.8,84.1,1.9,4.0
16.4,0.1,30.6,24.2,85.5,1.8,3.3
19.4,1.1,32.1,23.9,81.2,3.7,4.1
19.5,0.4,32.1,24.0,82.4,0.0,4.0
17.3,0.6,31.7,24.0,83.7,13.6,3.6
21.5,0.1,32.8,24.6,83.0,1.5,4.4
15.6,0.6,30.9,24.0,85.7,7.1,3.3
20.7,0.2,32.1,24.2,86.1,6.4,4.2
19.6,0.1,31.5,25.0,85.3,0.8,4.0
