Rs,u2,Tmax,Tmin,RH,pr,ETo
25.7,2.7,33.7,26.0,73.2,0.0,6.1
25.1,3.5,33.7,25.2,73.9,0.0,6.1
25.2,3.1,33.5,23.5,75.2,0.0,5.9
23.9,2.3,33.7,23.4,75.6,0.0,5.5
24.3,2.3,33.8,23.6,74.4,0.0,5.6
24.8,2.8,33.8,26.2,74.2,0.0,6.0
22.5,2.3,33.9,25.0,75.0,0.0,5.4
22.9,2.8,33.4,25.6,77.7,0.0,5.4
24.5,2.6,33.5,24.5,75.8,0.0,5.7
25.0,2.4,33.8,24.5,74.8,0.0,5.8
23.7,3.1,33.7,25.5,74.9,0.0,5.8
24.8,2.8,33.4,25.0,76.6,0.0,5.8
25.1,2.6,33.8,24.3,74.2,0.0,5.9
22.4,1.5,34.0,24.0,75.4,0.0,5.1
24.7,2.7,33.5,25.0,76.9,0.0,5.7
24.0,2.5,33.4,25.7,75.7,0.0,5.6
23.1,2.3,34.0,24.8,76.3,0.3,5.4
21.6,2.0,33.2,24.0,76.6,0.2,5.0
22.5,2.5,33.5,24.7,75.9,0.0,5.4
25.1,2.3,33.7,24.2,75.0,0.0,5.7
21.0,2.6,33.2,25.0,76.3,0.0,5.1
23.1,2.4,33.8,25.0,74.9,0.0,5.5
25.2,2.2,33.3,23.8,74.6,0.0,5.7
24.2,2.8,33.8,24.5,74.2,0.0,5.8
24.4,2.2,33.2,24.5,75.2,0.0,5.6
23.4,3.0,33.1,25.2,77.1,0.0,5.5
23.8,3.3,32.7,24.0,74.2,0.0,5.7
23.8,2.7,33.1,24.0,75.2,0.0,5.5
23.5,2.4,33.2,23.9,76.2,0.0,5.4
24.6,2.8,33.2,24.5,74.1,0.0,5.8
24.6,2.7,33.4,24.0,73.8,0.0,5.8
23.5,2.8,33.1,25.0,73.4,0.0,5.6
23.7,3.2,32.9,24.5,73.7,0.0,5.7
24.8,2.7,33.5,23.9,74.5,0.0,5.8
24.1,2.8,33.7,24.3,73.8,0.0,5.8
23.5,2.3,34.1,24.5,75.0,0.0,5.5
19.1,2.6,32.8,23.8,74.5,0.0,4.8
21.5,2.6,33.1,26.0,74.8,0.0,5.3
23.7,2.5,33.1,24.0,73.5,0.0,5.5
24.3,2.8,33.7,23.8,72.2,0.0,5.8
23.2,3.0,33.2,24.5,74.1,0.0,5.6
23.6,2.1,34.7,24.5,75.7,0.0,5.5
25.0,2.7,34.2,24.8,74.9,0.0,5.9
24.0,2.0,34.2,24.5,73.8,0.0,5.5
22.8,2.3,33.7,25.0,75.2,0.0,5.4
20.6,2.2,33.4,26.1,76.7,0.0,5.0
22.2,2.5,33.4,24.5,73.8,0.0,5.4
22.8,3.3,33.1,23.6,71.9,0.0,5.7
23.3,1.9,33.8,23.7,75.0,0.1,5.3
23.8,2.5,34.1,24.5,73.1,0.0,5.7
22.9,2.4,33.7,23.1,74.8,0.0,5.4
20.3,2.4,33.5,23.5,73.9,0.0,5.0
21.6,2.6,33.1,23.7,74.2,0.0,5.2
21.1,2.3,34.5,23.3,73.9,0.0,5.2
22.5,3.2,33.5,25.0,73.9,0.0,5.6
23.4,2.7,33.5,25.2,73.7,0.0,5.6
22.4,3.0,33.2,24.6,72.7,0.0,5.6
23.4,2.6,33.7,24.5,73.8,0.0,5.6
22.7,2.3,34.1,24.8,74.7,0.0,5.4
23.3,2.4,33.7,24.5,74.4,0.0,5.5
19.9,2.3,33.1,24.7,75.2,0.0,4.8
22.1,2.3,33.5,24.0,72.8,0.0,5.3
21.0,2.9,33.2,24.0,73.5,0.0,5.3
23.3,2.9,33.7,23.7,73.0,0.0,5.7
20.7,2.4,33.7,23.1,74.6,0.0,5.0
16.3,1.9,33.1,25.8,76.3,0.0,4.1
20.9,2.0,33.2,26.0,76.1,0.4,4.9
20.7,2.9,33.1,24.8,76.2,0.0,5.1
23.2,2.5,33.1,23.9,75.4,0.0,5.4
21.3,2.4,33.1,23.6,73.6,0.0,5.1
19.1,1.6,33.2,24.3,76.0,0.0,4.5
18.6,2.9,33.2,25.2,76.3,0.0,4.8
22.3,2.8,33.5,24.5,75.4,1.5,5.4
20.5,2.2,34.1,24.5,75.7,0.0,5.0
19.4,2.5,32.3,25.6,77.8,4.7,4.7
9.0,1.2,28.6,23.8,91.4,21.5,2.1
19.1,1.1,31.9,23.0,80.8,14.6,4.1
22.0,1.9,32.8,24.8,79.1,0.0,4.9
12.4,1.1,32.3,24.5,82.3,0.0,3.0
12.3,0.6,30.7,23.8,85.3,11.7,2.7
18.9,1.7,32.6,24.0,80.4,0.2,4.3
23.2,1.9,32.7,24.0,76.8,0.1,5.1
23.5,2.4,33.1,23.9,77.8,0.0,5.3
23.7,2.2,33.1,24.4,76.1,0.0,5.3
24.5,1.9,33.1,24.5,75.4,0.0,5.4
22.9,2.1,33.2,23.6,77.9,0.0,5.1
22.9,1.8,32.3,24.2,77.0,6.0,5.0
23.6,2.4,32.7,25.0,77.8,0.0,5.3
22.7,2.4,33.2,24.9,76.8,0.0,5.3
22.8,2.3,32.9,25.5,75.9,0.0,5.3
21.2,2.5,32.2,24.6,76.9,2.5,4.9
18.8,2.5,32.2,25.0,81.2,0.0,4.4
21.8,2.2,32.5,24.0,80.0,0.2,4.8
23.8,1.8,32.8,24.5,77.6,0.2,5.2
24.5,2.1,32.9,24.8,77.4,2.0,5.4
23.8,2.4,33.1,24.5,76.1,0.0,5.4
24.5,2.1,32.9,25.5,77.8,1.0,5.4
20.7,2.6,32.7,24.6,79.6,1.8,4.8
21.8,1.5,33.2,24.7,80.5,0.0,4.8
16.6,2.1,33.0,26.1,88.3,10.0,3.8
9.7,2.4,27.5,23.2,92.3,8.8,2.2
16.5,0.4,31.8,23.2,84.1,24.4,3.5
13.5,1.0,30.1,25.0,83.3,16.8,3.1
15.9,1.5,31.1,25.0,86.3,38.9,3.5
10.1,1.2,28.9,24.0,85.5,18.5,2.4
19.4,1.0,31.8,24.3,84.3,4.5,4.1
14.8,0.8,30.7,23.8,89.1,17.3,3.2
19.0,1.8,32.1,23.8,84.1,2.1,4.2
17.8,1.9,31.2,25.2,87.2,3.0,3.9
19.1,1.0,31.3,25.0,83.9,8.4,4.1
21.6,1.5,32.1,24.8,80.1,14.7,4.7
21.2,2.3,32.1,25.0,80.2,2.6,4.8
17.5,2.1,31.5,25.0,83.1,0.0,4.0
16.3,2.0,32.1,25.2,82.4,3.9,3.9
18.4,1.8,31.2,25.6,84.2,0.0,4.1
15.3,1.0,31.7,24.3,89.4,4.4,3.3
13.7,1.0,30.5,23.9,87.1,26.0,3.0
10.6,0.5,28.7,23.5,90.4,12.3,2.3
13.6,1.1,30.8,23.5,88.8,20.5,3.0
19.1,1.2,31.5,24.5,86.1,4.4,4.1
22.9,1.6,32.1,24.8,84.2,5.6,4.8
14.6,1.5,29.9,24.1,87.5,38.9,3.2
21.0,2.3,31.5,24.4,82.4,7.2,4.6
24.7,2.2,31.9,24.8,80.4,0.0,5.3
23.3,2.1,32.5,24.6,81.2,0.0,5.1
17.2,2.1,30.9,24.8,83.4,0.0,3.9
12.6,1.2,29.7,24.3,88.1,18.0,2.8
14.9,1.5,31.3,24.5,87.7,8.0,3.3
13.1,1.8,29.9,23.9,90.7,4.4,2.9
13.9,0.7,29.7,24.0,87.8,19.8,3.0
10.9,0.8,28.1,24.7,92.8,11.6,2.4
18.2,0.9,31.1,24.6,86.7,7.9,3.9
17.5,1.4,31.5,25.0,83.9,0.0,3.9
12.3,2.0,28.3,25.0,87.9,19.6,2.8
18.0,1.1,32.7,24.1,90.2,33.5,3.9
12.3,1.5,30.6,24.5,92.5,8.0,2.7
19.3,1.8,31.7,24.3,85.2,16.6,4.2
16.5,1.6,29.3,25.0,84.2,4.3,3.6
17.5,2.2,31.5,24.6,87.7,7.2,3.8
19.5,1.5,33.0,24.3,86.6,8.6,4.3
14.7,0.9,30.7,24.2,89.2,23.3,3.2
12.7,1.4,28.9,25.0,88.4,22.3,2.8
10.7,0.7,29.9,24.8,92.1,26.2,2.4
12.2,0.9,30.9,24.6,84.4,30.7,2.9
17.9,1.6,32.7,25.5,86.6,11.3,4.0
17.3,1.6,32.2,25.6,89.5,10.5,3.8
14.5,1.7,30.7,25.2,86.9,12.1,3.3
24.6,1.4,32.3,24.8,80.6,12.9,5.2
21.3,1.6,32.2,25.0,82.1,3.4,4.7
22.5,1.8,32.1,24.2,84.9,6.8,4.8
15.8,0.7,31.9,25.0,84.4,2.5,3.5
18.0,1.6,32.1,24.8,82.9,4.9,4.1
19.2,1.7,31.9,25.0,85.6,6.5,4.2
10.3,1.7,27.1,25.0,92.6,18.5,2.3
10.7,1.1,30.9,23.6,89.3,29.0,2.5
11.1,1.4,31.1,24.5,91.1,13.5,2.6
15.0,1.1,31.2,24.1,88.1,37.7,3.3
15.4,1.0,31.1,24.0,89.2,8.7,3.3
21.8,1.0,32.5,24.0,82.4,12.2,4.6
13.2,1.7,31.7,24.1,87.4,1.6,3.1
10.1,1.5,27.7,24.0,92.6,14.0,2.2
17.7,1.3,32.1,24.4,87.2,10.4,3.9
13.0,1.2,28.3,24.0,90.7,13.8,2.8
11.9,1.5,27.1,23.5,89.6,7.8,2.6
10.7,0.7,26.3,23.5,92.2,21.8,2.3
12.2,0.6,30.1,23.4,90.0,6.0,2.7
12.3,0.8,29.7,24.0,88.8,5.5,2.7
13.5,0.8,29.1,24.3,87.3,15.4,2.9
16.4,1.6,30.9,24.2,90.2,5.9,3.5
13.3,0.8,30.5,24.0,89.7,9.4,2.9
17.3,1.9,32.1,24.5,86.4,11.3,3.9
11.5,1.7,30.7,24.0,87.9,22.3,2.7
13.6,0.7,30.2,24.2,89.8,16.9,3.0
18.0,0.5,32.2,24.3,85.9,10.4,3.9
23.2,1.5,32.7,25.0,83.5,1.1,5.0
14.4,1.3,28.9,25.6,88.8,3.5,3.1
19.6,1.0,31.9,25.0,85.2,21.3,4.2
18.9,1.6,31.5,24.6,88.2,15.8,4.0
12.4,1.1,29.7,24.5,88.9,35.3,2.8
19.7,0.5,31.9,25.0,85.7,30.6,4.2
15.6,1.7,30.7,24.8,88.9,16.4,3.4
15.5,0.8,30.5,24.0,85.3,32.3,3.3
16.5,0.9,30.7,24.5,85.4,20.1,3.5
18.1,0.7,31.1,24.9,86.2,13.3,3.8
17.9,1.5,30.7,23.6,86.6,15.9,3.8
20.3,1.3,32.1,24.5,85.4,18.9,4.3
12.7,1.4,28.2,23.5,89.4,38.8,2.7
16.2,1.8,32.4,24.5,88.1,4.5,3.6
17.2,1.3,31.7,25.0,87.3,14.9,3.7
18.9,2.1,32.5,25.2,86.2,16.9,4.2
21.1,1.6,32.2,25.2,81.1,4.5,4.6
10.0,1.8,30.1,25.0,90.1,8.2,2.4
12.9,0.7,31.2,24.3,88.9,11.4,2.9
12.5,0.9,29.7,25.0,88.6,13.6,2.8
17.8,1.7,31.9,24.4,84.4,7.9,4.0
15.9,1.4,32.7,25.5,87.6,5.8,3.6
10.7,1.5,30.2,24.5,93.6,25.3,2.4
9.9,0.4,28.3,23.5,87.8,10.7,2.2
22.5,0.9,32.8,24.1,83.2,0.2,4.7
18.1,1.3,33.2,25.0,83.9,7.2,4.1
11.3,1.2,30.1,25.2,91.3,3.3,2.5
10.8,0.7,29.7,25.0,86.8,11.7,2.5
19.1,0.7,32.1,24.6,83.1,11.6,4.0
15.0,0.8,30.5,24.3,87.0,5.1,3.2
19.7,0.9,33.2,25.6,86.4,3.1,4.3
17.7,0.7,33.1,24.2,86.2,2.5,3.8
17.1,0.6,31.3,25.0,86.2,2.9,3.6
21.0,1.3,32.4,25.4,83.8,14.4,4.5
16.5,0.8,32.1,24.7,86.3,6.6,3.6
13.4,0.8,30.7,24.6,88.6,6.3,2.9
11.5,0.1,30.7,24.6,88.1,21.3,2.5
17.8,1.3,31.2,24.5,86.4,16.6,3.8
18.5,1.0,30.7,25.3,82.2,6.4,3.9
23.0,0.7,32.8,24.2,82.8,1.3,4.7
20.3,1.6,33.7,26.0,85.0,4.3,4.5
18.4,2.4,31.9,26.4,82.9,3.7,4.2
16.8,1.2,31.5,25.6,85.3,0.2,3.7
15.1,1.2,31.3,25.5,87.6,8.7,3.3
15.0,0.5,31.3,25.4,86.2,9.7,3.2
19.6,0.8,33.4,25.2,84.2,23.2,4.2
10.5,0.4,30.2,25.0,90.0,16.2,2.3
11.8,0.6,29.7,24.8,88.8,15.5,2.6
9.1,0.9,29.3,24.7,91.0,20.5,2.1
10.0,0.4,28.1,24.5,90.7,23.0,2.2
11.3,0.7,29.5,24.6,87.9,4.0,2.5
18.1,0.8,30.5,24.5,83.1,10.3,3.8
14.2,1.0,29.5,24.8,85.4,2.4,3.1
12.3,0.9,30.9,25.2,88.8,9.5,2.7
20.0,1.1,31.3,24.2,84.6,7.3,4.1
19.9,1.1,32.2,25.5,84.2,10.0,4.2
20.6,1.7,33.2,26.6,82.7,12.5,4.6
17.1,1.1,31.9,25.0,85.0,9.9,3.7
11.2,0.7,30.4,24.3,85.7,15.8,2.5
16.0,0.6,31.9,24.5,86.4,1.1,3.4
15.1,1.4,30.2,24.5,86.1,14.6,3.3
20.6,0.5,33.1,24.0,83.5,13.3,4.3
17.2,1.2,31.1,24.7,83.4,8.7,3.7
17.8,1.4,32.1,25.0,84.4,0.0,3.9
20.1,0.9,33.7,25.5,82.1,7.3,4.4
14.5,1.3,31.1,25.5,86.3,10.8,3.2
16.5,1.9,32.1,24.0,84.8,31.4,3.7
14.9,0.7,30.9,24.5,87.6,8.4,3.2
16.1,0.7,32.7,24.5,85.6,12.4,3.5
21.0,2.0,33.2,25.0,82.3,6.5,4.6
14.8,1.9,31.2,24.8,84.5,1.5,3.4
21.4,0.5,33.2,24.8,82.2,11.5,4.4
17.6,0.7,32.5,26.0,82.1,5.9,3.8
18.6,1.6,31.2,25.5,82.5,5.7,4.0
22.5,2.2,32.7,26.2,79.5,6.5,5.0
20.5,0.9,33.2,25.0,81.9,0.0,4.4
19.0,1.4,33.1,24.8,83.6,0.0,4.2
21.1,0.8,32.8,24.3,83.5,1.3,4.4
20.3,1.0,30.9,26.0,82.5,0.0,4.2
21.9,2.2,32.2,26.0,77.6,4.6,4.9
22.3,1.1,33.7,26.4,79.7,0.0,4.8
21.2,0.2,33.2,24.8,79.8,3.0,4.3
20.5,1.3,31.7,24.8,82.4,1.9,4.3
20.5,0.9,33.1,24.3,84.4,9.0,4.3
18.5,1.1,31.7,25.0,82.1,6.9,4.0
15.5,1.6,31.3,24.0,86.3,2.2,3.4
16.8,0.5,32.2,23.8,81.8,32.7,3.5
22.6,1.8,33.1,23.2,78.3,9.0,4.9
22.6,0.2,34.1,25.8,77.9,4.3,4.6
19.9,0.4,33.1,26.0,79.3,0.7,4.2
10.6,0.4,28.9,24.5,86.0,1.1,2.3
15.6,1.0,30.8,24.2,84.3,11.5,3.3
19.8,0.5,32.3,24.0,83.8,12.3,4.0
13.2,0.5,31.1,23.5,84.2,9.7,2.8
12.5,2.0,27.5,23.5,90.1,6.6,2.6
21.8,0.1,32.2,22.9,83.8,14.5,4.3
19.5,2.2,32.2,22.7,84.5,6.3,4.2
13.9,0.4,29.9,24.0,84.4,15.5,2.9
16.1,1.0,29.9,23.6,87.8,7.4,3.3
17.9,0.4,31.2,23.0,84.8,22.0,3.6
12.2,0.9,27.9,22.7,84.2,19.6,2.6
22.6,0.4,32.8,23.5,82.8,0.3,4.5
21.4,0.2,33.1,23.5,83.2,1.0,4.3
15.6,0.8,31.1,23.8,82.8,11.9,3.3
22.2,0.8,32.5,22.9,79.1,3.1,4.5
22.6,1.6,33.3,25.8,78.6,1.3,5.0
22.0,1.5,33.7,26.2,79.6,1.2,4.9
23.0,1.1,33.2,25.1,78.1,1.1,4.9
23.0,2.0,32.5,26.6,76.1,0.6,5.2
22.7,2.6,32.7,25.9,77.2,0.0,5.2
22.4,1.9,32.8,24.6,78.1,0.0,4.9
18.1,1.6,33.2,25.4,83.9,7.0,4.1
22.4,0.1,33.0,23.6,80.4,4.8,4.5
23.0,0.7,32.6,24.0,77.9,12.6,4.7
15.5,0.5,29.3,24.8,81.6,0.5,3.2
20.0,1.0,32.3,23.7,78.4,22.4,4.3
20.5,0.8,32.4,24.1,79.8,8.2,4.3
19.2,1.5,32.2,23.0,79.8,24.3,4.2
22.8,2.0,32.1,24.5,79.8,9.2,4.9
22.9,1.1,32.6,24.6,76.4,10.8,4.8
22.8,0.7,32.7,24.0,80.7,4.7,4.7
21.8,0.5,32.9,24.1,80.2,4.0,4.5
22.6,1.0,32.8,24.5,78.5,3.1,4.8
22.7,0.8,32.9,24.0,80.8,0.1,4.7
18.3,0.2,32.9,23.6,80.1,11.5,3.8
22.1,0.3,33.5,25.5,77.9,0.1,4.6
21.7,2.3,33.2,25.6,79.7,0.1,5.0
22.9,1.0,32.7,24.7,80.5,5.3,4.8
21.2,0.5,31.7,24.2,79.8,0.5,4.3
21.6,0.9,32.6,23.6,81.2,2.0,4.5
23.0,1.5,32.2,23.5,78.6,0.8,4.9
19.9,1.2,32.7,24.7,81.2,0.8,4.3
17.9,0.5,31.5,23.0,84.6,12.4,3.7
23.8,1.0,32.6,23.5,77.7,1.0,4.9
22.9,2.1,32.2,24.5,78.7,1.5,5.0
23.1,1.8,32.6,24.6,79.2,0.9,5.0
23.1,2.3,31.7,24.5,77.2,4.0,5.1
23.3,2.2,32.1,24.2,79.2,0.9,5.1
21.5,1.7,32.7,24.6,80.4,2.1,4.7
23.6,1.2,33.1,25.0,78.1,2.7,5.1
24.3,1.1,33.2,24.0,79.1,3.3,5.1
24.2,1.2,33.7,24.2,77.2,0.2,5.2
24.6,2.1,33.2,24.2,75.7,0.5,5.5
24.0,2.6,32.2,24.5,78.2,0.0,5.3
24.5,1.7,32.6,24.4,76.0,4.2,5.3
21.3,2.0,33.1,24.2,79.4,0.1,4.8
24.3,1.1,33.2,23.8,77.8,0.3,5.1
24.1,2.3,33.0,24.6,77.3,0.0,5.4
24.2,1.9,32.6,23.8,78.2,2.0,5.2
23.6,2.8,32.5,24.0,80.1,0.8,5.2
23.8,1.8,32.9,23.8,76.8,2.1,5.2
23.8,1.1,32.7,23.7,79.3,2.4,5.0
23.2,2.0,32.1,25.2,75.7,1.3,5.2
23.9,2.4,32.5,23.5,75.8,1.1,5.4
24.8,2.4,32.9,23.7,75.7,0.0,5.6
24.3,1.8,32.9,23.7,76.2,0.0,5.3
23.6,2.4,32.5,24.3,75.4,0.0,5.4
24.3,2.2,33.1,23.6,75.9,3.4,5.5
24.5,2.9,33.1,23.6,76.3,0.0,5.6
24.5,2.4,32.7,23.8,75.5,0.0,5.5
24.9,2.7,32.8,23.8,76.2,0.0,5.6
24.3,2.2,33.1,22.7,74.6,0.0,5.5
24.4,3.1,33.2,24.2,74.8,0.0,5.8
23.5,2.5,33.4,23.6,75.5,1.3,5.5
24.1,2.3,33.6,23.5,74.9,0.1,5.6
23.4,2.3,33.4,23.5,77.6,0.3,5.3
22.1,1.5,34.0,23.5,80.7,0.0,4.9
20.9,1.4,33.1,22.8,79.8,1.7,4.6
23.8,1.9,34.1,23.7,77.2,0.0,5.4
24.5,1.7,34.2,24.0,75.7,1.9,5.5
24.1,1.2,33.8,24.8,74.8,0.0,5.3
22.2,2.1,33.7,26.2,74.8,1.3,5.3
25.1,2.8,33.7,24.1,73.8,0.0,5.9
25.4,2.9,33.7,22.9,73.7,0.0,6.0
24.9,2.8,33.8,23.4,74.1,0.0,5.9
22.9,2.1,33.8,24.2,74.2,0.0,5.4
24.0,2.0,33.8,23.2,73.9,0.0,5.5
23.8,2.7,33.1,23.5,72.9,0.0,5.7
24.4,1.9,33.2,23.1,72.8,0.0,5.5
23.7,2.6,33.4,25.4,77.1,0.0,5.5
24.4,2.4,33.8,22.4,73.7,0.0,5.7
24.3,2.1,34.4,23.5,74.5,0.0,5.6
24.3,0.8,34.8,24.0,73.5,0.0,5.2
25.4,1.9,34.7,26.6,73.4,0.2,6.0
23.4,2.8,33.8,24.8,74.7,0.0,5.7
24.2,2.7,34.1,23.9,73.8,0.8,5.8
24.4,2.8,34.2,24.4,74.1,0.0,5.9
20.6,1.9,33.1,24.2,78.6,1.6,4.8
24.1,2.1,33.1,23.7,74.7,10.2,5.4
25.4,2.3,33.6,25.4,72.8,0.0,5.9
21.6,1.9,33.7,23.7,75.5,0.0,5.1
16.1,1.8,33.2,25.4,79.6,0.0,4.0
17.9,1.0,33.2,23.3,81.9,0.0,4.0
21.9,1.7,33.3,22.7,79.4,8.0,4.9
23.1,1.5,33.1,24.0,75.3,0.9,5.1
25.4,2.7,33.1,24.0,73.6,1.3,5.9
23.9,2.3,33.1,24.2,72.2,0.0,5.6
19.4,3.0,32.8,23.7,73.4,0.0,5.1
17.6,2.4,31.9,23.7,76.1,0.0,4.4
24.3,3.1,33.1,24.2,74.6,0.0,5.8
25.0,2.0,33.2,23.9,74.6,0.0,5.6
24.4,3.0,33.4,24.1,75.6,0.0,5.7
21.9,2.6,32.8,24.2,76.9,0.3,5.2
24.9,2.9,33.4,24.2,74.4,5.5,5.9
24.8,2.4,33.7,24.2,74.3,0.0,5.8
23.2,2.9,33.3,24.2,75.1,0.0,5.6
24.2,2.4,33.8,24.0,73.1,0.0,5.7
24.0,2.6,33.8,25.0,74.2,0.0,5.7
24.6,2.8,33.2,24.2,71.9,0.3,5.9
25.2,2.9,33.1,24.2,72.2,0.0,6.0
25.5,2.6,33.7,24.1,72.4,0.0,6.0
25.9,2.3,33.5,24.0,72.4,0.0,5.9
23.9,2.1,34.1,23.7,73.0,0.0,5.6
22.7,2.1,33.3,25.0,73.8,1.1,5.3
25.0,2.4,33.9,22.8,72.6,0.0,5.8
24.9,2.7,35.1,23.7,72.8,0.0,6.1
21.6,2.4,33.7,25.1,77.4,0.0,5.1
18.1,1.4,32.7,25.8,77.0,9.0,4.2
23.3,1.5,33.2,24.2,74.1,5.1,5.2
23.9,1.8,34.2,24.7,72.9,0.0,5.5
23.6,2.5,34.1,24.7,73.3,0.0,5.7
23.5,2.1,33.2,23.9,74.6,0.0,5.4
24.1,2.7,33.2,24.2,73.8,0.0,5.7
24.1,2.4,33.6,23.5,73.2,0.0,5.6
21.9,1.9,32.8,25.0,78.4,5.2,4.9
24.1,2.6,33.7,24.5,73.4,0.0,5.7
23.5,2.5,33.5,24.4,74.7,0.0,5.5
23.7,2.7,33.2,24.7,74.8,0.0,5.6
20.2,2.4,33.2,24.5,75.4,0.8,4.9
22.3,1.4,34.1,23.9,73.7,0.0,5.0
22.7,2.1,33.4,25.2,73.3,0.0,5.3
22.8,2.3,33.7,24.7,75.0,0.0,5.4
20.3,2.9,33.4,24.7,76.1,0.2,5.1
22.1,2.5,34.1,24.4,74.7,2.8,5.4
21.9,2.5,33.8,24.8,74.6,0.0,5.3
21.3,2.6,33.7,24.8,73.9,0.0,5.3
23.5,2.6,34.1,24.1,74.4,0.0,5.6
23.3,2.6,33.8,24.2,73.1,0.0,5.6
21.7,2.5,33.7,23.9,76.4,0.0,5.2
13.2,2.4,33.2,24.7,82.2,0.0,3.5
20.3,1.5,33.5,24.5,76.3,5.6,4.6
23.8,3.2,34.1,27.0,72.8,0.0,6.1
21.9,3.1,34.2,27.0,73.9,0.0,5.7
21.2,2.3,33.7,25.0,76.9,0.0,5.1
18.8,2.6,33.2,25.2,78.4,0.0,4.6
21.3,2.7,32.9,24.9,79.9,3.6,4.9
19.6,2.5,33.2,24.7,81.2,0.0,4.6
17.3,2.9,33.6,24.5,82.9,0.0,4.3
14.8,0.4,32.4,24.4,84.2,20.1,3.2
13.9,0.9,30.9,23.9,86.4,11.6,3.1
17.4,0.8,33.0,23.8,85.0,3.6,3.8
10.8,0.8,30.5,24.5,88.0,7.2,2.5
19.4,1.8,32.2,24.9,79.9,5.5,4.4
16.2,2.8,30.0,24.1,77.2,2.3,4.1
23.8,2.2,32.9,23.7,74.2,8.5,5.4
23.1,0.8,33.1,23.2,77.2,1.3,4.8
19.8,1.9,32.9,23.7,80.8,1.0,4.5
15.7,0.3,31.0,24.8,86.9,9.3,3.3
20.4,1.2,31.9,23.5,79.9,1.3,4.3
21.7,2.2,32.5,23.9,79.4,6.1,4.8
13.8,1.0,31.9,25.0,86.3,1.3,3.1
16.7,1.7,31.9,23.4,90.6,21.8,3.5
14.3,1.0,31.2,24.0,86.8,6.2,3.2
12.4,1.7,30.5,23.0,91.2,21.1,2.7
17.7,0.7,31.3,23.6,86.8,15.3,3.7
14.7,0.5,29.9,23.1,88.2,24.6,3.1
17.6,0.8,32.0,23.5,86.9,9.0,3.7
19.6,0.4,32.8,23.8,83.2,6.3,4.1
21.4,0.7,32.2,23.8,79.6,10.4,4.4
14.2,1.1,30.9,23.8,88.5,12.5,3.1
14.7,0.7,30.2,23.5,90.9,24.1,3.1
12.9,1.0,30.5,23.2,87.4,17.3,2.9
20.2,0.6,31.8,23.1,82.1,39.5,4.1
14.3,1.2,32.0,24.4,86.9,8.4,3.2
17.1,0.9,31.2,24.8,84.9,5.1,3.7
17.9,1.0,30.7,23.5,83.2,11.3,3.8
17.5,0.7,31.1,24.0,86.8,3.9,3.7
13.3,1.6,30.7,22.9,87.9,11.5,3.0
12.3,0.7,30.7,23.0,87.8,19.7,2.7
12.9,1.3,31.9,24.4,85.6,1.3,3.0
18.6,1.8,31.1,23.9,85.8,12.1,4.0
18.5,1.6,31.1,24.0,87.5,2.8,3.9
11.3,0.6,28.2,23.5,91.7,2.2,2.4
21.8,0.9,31.1,23.0,82.7,1.9,4.4
16.4,1.3,31.2,23.8,88.9,0.2,3.5
10.1,1.3,26.3,22.7,89.2,40.9,2.2
23.4,0.7,31.9,23.2,81.6,3.2,4.7
22.2,1.8,31.7,24.7,81.4,8.7,4.7
23.5,2.2,31.7,24.8,80.2,2.2,5.1
19.3,1.1,31.7,22.9,84.4,0.0,4.0
10.2,0.5,26.7,22.3,91.7,79.6,2.2
20.0,1.1,31.0,22.6,86.9,7.2,4.1
16.5,0.5,30.7,22.8,87.6,6.3,3.4
12.5,0.4,28.7,23.0,92.2,20.0,2.6
18.5,0.7,30.9,23.5,85.7,9.6,3.8
22.2,2.2,31.4,24.7,82.9,3.5,4.7
21.9,2.1,31.5,24.4,81.4,5.0,4.7
22.5,2.1,31.7,24.5,82.8,3.5,4.8
19.5,1.9,30.9,24.8,82.4,0.9,4.3
22.4,1.7,32.4,25.0,80.8,0.6,4.9
19.2,2.1,32.2,25.2,82.6,0.3,4.4
21.8,1.0,32.7,24.7,82.1,0.1,4.7
22.8,2.4,32.5,25.0,81.5,0.0,5.0
16.1,2.5,32.2,24.5,86.2,0.0,3.7
22.1,1.7,32.2,24.1,82.8,17.0,4.7
18.0,2.1,31.5,24.5,84.1,2.2,4.0
22.2,2.5,32.3,24.1,80.2,4.4,5.0
14.7,2.0,27.9,24.2,83.3,11.9,3.3
18.9,1.8,32.4,23.3,87.8,5.9,4.1
16.4,0.5,32.2,24.0,91.2,3.4,3.5
9.8,1.8,27.8,22.7,95.2,67.7,2.1
10.3,2.0,28.3,21.8,86.6,26.6,2.5
18.8,1.4,30.3,22.9,86.9,7.6,3.9
21.0,1.5,31.4,24.0,83.9,9.1,4.4
18.8,1.4,31.9,24.7,82.1,2.3,4.2
19.9,1.9,31.7,24.2,88.4,1.8,4.2
10.3,1.3,30.0,24.4,93.6,1.8,2.3
10.6,0.9,28.5,23.2,89.1,12.7,2.4
12.4,1.9,29.2,22.8,90.8,7.6,2.7
15.0,0.8,31.6,23.6,86.5,10.9,3.3
11.3,1.4,27.9,23.5,92.1,15.8,2.4
11.2,0.9,29.0,22.5,91.6,10.8,2.4
10.6,0.3,28.5,23.0,87.1,1.7,2.3
19.8,0.1,32.8,23.8,83.9,0.6,4.1
17.5,1.4,32.1,24.3,80.8,2.9,4.0
