,name_dataset,name_model,step_ahead,window,time,real,forecast
1704,ENERGY_1,FEDOT,24,0,6.729833333333334,0.2091,62.91405387885895
1705,ENERGY_1,FEDOT,25,0,6.729833333333334,0.2258,62.480862078537
1706,ENERGY_1,FEDOT,26,0,6.729833333333334,0.2425,62.93189627158333
1707,ENERGY_1,FEDOT,27,0,6.729833333333334,0.2592,61.85337205941572
1708,ENERGY_1,FEDOT,28,0,6.729833333333334,0.2759,62.11351017349162
1709,ENERGY_1,FEDOT,29,0,6.729833333333334,0.2926,64.72165711289145
1710,ENERGY_1,FEDOT,0,1,7.262833333333333,0.2543,70.52092624583942
1711,ENERGY_1,FEDOT,1,1,7.262833333333333,0.2604,71.54581352236083
1712,ENERGY_1,FEDOT,2,1,7.262833333333333,0.2664,73.05616444659569
1713,ENERGY_1,FEDOT,3,1,7.262833333333333,0.2725,75.50985688025699
1714,ENERGY_1,FEDOT,4,1,7.262833333333333,0.2785,76.48227764876178
1715,ENERGY_1,FEDOT,5,1,7.262833333333333,0.2637,74.86929019379517
1716,ENERGY_1,FEDOT,6,1,7.262833333333333,0.2279,73.71071658564912
1717,ENERGY_1,FEDOT,7,1,7.262833333333333,0.1921,75.92565249860404
1718,ENERGY_1,FEDOT,8,1,7.262833333333333,0.1562,76.07057230324843
1719,ENERGY_1,FEDOT,9,1,7.262833333333333,0.1204,75.14263560314069
1720,ENERGY_1,FEDOT,10,1,7.262833333333333,0.0846,74.3530465082816
1721,ENERGY_1,FEDOT,11,1,7.262833333333333,0.0488,73.531462109368
1722,ENERGY_1,FEDOT,12,1,7.262833333333333,0.0322,77.12145363137108
1723,ENERGY_1,FEDOT,13,1,7.262833333333333,0.0348,80.416946218319
1724,ENERGY_1,FEDOT,14,1,7.262833333333333,0.0373,82.13428487579795
1725,ENERGY_1,FEDOT,15,1,7.262833333333333,0.0399,83.5329516568195
1726,ENERGY_1,FEDOT,16,1,7.262833333333333,0.0424,85.06231241241446
1727,ENERGY_1,FEDOT,17,1,7.262833333333333,0.045,81.42278518435404
1728,ENERGY_1,FEDOT,18,1,7.262833333333333,0.0683,78.28259087628442
1729,ENERGY_1,FEDOT,19,1,7.262833333333333,0.1123,78.50973367376218
1730,ENERGY_1,FEDOT,20,1,7.262833333333333,0.1563,77.99844614403156
1731,ENERGY_1,FEDOT,21,1,7.262833333333333,0.2004,79.76176978767324
1732,ENERGY_1,FEDOT,22,1,7.262833333333333,0.2444,80.37647692176373
1733,ENERGY_1,FEDOT,23,1,7.262833333333333,0.2884,81.44076031378253
1734,ENERGY_1,FEDOT,24,1,7.262833333333333,0.3325,80.2906265817721
1735,ENERGY_1,FEDOT,25,1,7.262833333333333,0.3765,73.64219922357691
