,name_dataset,name_model,step_ahead,window,time,real,forecast
0,ECONOMICS_1,AutoCE-TS,0,0,3.2485,12.3275,12.002530210950573
1,ECONOMICS_1,AutoCE-TS,1,0,3.2485,12.3725,12.872286186940038
2,ECONOMICS_1,AutoCE-TS,2,0,3.2485,12.45,11.850319593152708
3,ECONOMICS_1,AutoCE-TS,3,0,3.2485,12.3175,12.8635614571467
4,ECONOMICS_1,AutoCE-TS,4,0,3.2485,12.1725,710978.2617328799
5,ECONOMICS_1,AutoCE-TS,5,0,3.2485,12.265,12.300221987022947
6,ECONOMICS_1,AutoCE-TS,6,0,3.2485,12.3875,12.083332174756725
7,ECONOMICS_1,AutoCE-TS,7,0,3.2485,12.5225,12.846230850941502
8,ECONOMICS_1,AutoCE-TS,8,0,3.2485,12.57,11.916019170484251
9,ECONOMICS_1,AutoCE-TS,9,0,3.2485,12.5425,13.073493784417208
10,ECONOMICS_1,AutoCE-TS,10,0,3.2485,12.585,814517.1992328799
11,ECONOMICS_1,AutoCE-TS,11,0,3.2485,13.052499999999998,12.681864328636717
12,ECONOMICS_1,AutoCE-TS,12,0,3.2485,13.34,12.300747030713756
13,ECONOMICS_1,AutoCE-TS,13,0,3.2485,13.3175,14.166916237599217
14,ECONOMICS_1,AutoCE-TS,14,0,3.2485,13.3325,11.697974889478392
15,ECONOMICS_1,AutoCE-TS,15,0,3.2485,13.455,14.408030336846407
16,ECONOMICS_1,AutoCE-TS,16,0,3.2485,13.34,923683.3242328799
17,ECONOMICS_1,AutoCE-TS,17,0,3.2485,13.41,13.024012155785154
18,ECONOMICS_1,AutoCE-TS,18,0,3.2485,13.490000000000002,14.652447813489635
19,ECONOMICS_1,AutoCE-TS,19,0,3.2485,13.59,17.08419738841709
20,ECONOMICS_1,AutoCE-TS,20,0,3.2485,13.6675,14.112092702588743
21,ECONOMICS_1,AutoCE-TS,21,0,3.2485,13.55,17.523294275750217
22,ECONOMICS_1,AutoCE-TS,22,0,3.2485,13.5425,1002967.6367328799
23,ECONOMICS_1,AutoCE-TS,23,0,3.2485,13.3975,17.05470902468164
24,ECONOMICS_1,AutoCE-TS,24,0,3.2485,13.1975,16.671923750379282
25,ECONOMICS_1,AutoCE-TS,25,0,3.2485,13.265,20.014588700062596
26,ECONOMICS_1,AutoCE-TS,26,0,3.2485,13.425,17.414075582227415
27,ECONOMICS_1,AutoCE-TS,27,0,3.2485,13.5425,18.79530317162424
28,ECONOMICS_1,AutoCE-TS,28,0,3.2485,13.51,937399.4492328799
29,ECONOMICS_1,AutoCE-TS,29,0,3.2485,13.445,18.40895134951074
30,ECONOMICS_1,AutoCE-TS,0,1,1.7028333333333334,28.205,20.431218381481504
31,ECONOMICS_1,AutoCE-TS,1,1,1.7028333333333334,29.48250025,20.970364870099793
32,ECONOMICS_1,AutoCE-TS,2,1,1.7028333333333334,29.67249975,19.573179520490406
33,ECONOMICS_1,AutoCE-TS,3,1,1.7028333333333334,30.24249975,20.907931902017435
34,ECONOMICS_1,AutoCE-TS,4,1,1.7028333333333334,29.685,1010659.8914727914
35,ECONOMICS_1,AutoCE-TS,5,1,1.7028333333333334,29.82249975,20.806195155587346
36,ECONOMICS_1,AutoCE-TS,6,1,1.7028333333333334,30.0599995,20.431218381481504
37,ECONOMICS_1,AutoCE-TS,7,1,1.7028333333333334,30.8300005,20.970364870099793
38,ECONOMICS_1,AutoCE-TS,8,1,1.7028333333333334,31.11000025,19.573179520490406
39,ECONOMICS_1,AutoCE-TS,9,1,1.7028333333333334,32.42500025,20.907931902017435
40,ECONOMICS_1,AutoCE-TS,10,1,1.7028333333333334,33.92500025,1304292.6414727913
41,ECONOMICS_1,AutoCE-TS,11,1,1.7028333333333334,34.17750075,20.806195155587346
42,ECONOMICS_1,AutoCE-TS,12,1,1.7028333333333334,34.26249975,20.431218381481504
43,ECONOMICS_1,AutoCE-TS,13,1,1.7028333333333334,35.38500050000001,20.970364870099793
44,ECONOMICS_1,AutoCE-TS,14,1,1.7028333333333334,38.320002,19.573179520490406
45,ECONOMICS_1,AutoCE-TS,15,1,1.7028333333333334,42.64749975,20.907931902017435
46,ECONOMICS_1,AutoCE-TS,16,1,1.7028333333333334,40.45499975,1302303.3914727913
47,ECONOMICS_1,AutoCE-TS,17,1,1.7028333333333334,42.925,20.806195155587346
48,ECONOMICS_1,AutoCE-TS,18,1,1.7028333333333334,45.3575,20.431218381481504
49,ECONOMICS_1,AutoCE-TS,19,1,1.7028333333333334,46.5675,20.970364870099793
50,ECONOMICS_1,AutoCE-TS,20,1,1.7028333333333334,47.102501,19.573179520490406
51,ECONOMICS_1,AutoCE-TS,21,1,1.7028333333333334,44.43500175,20.907931902017435
52,ECONOMICS_1,AutoCE-TS,22,1,1.7028333333333334,45.5649995,1447572.1414727913
53,ECONOMICS_1,AutoCE-TS,23,1,1.7028333333333334,47.03249925,20.80619515558735
54,ECONOMICS_1,AutoCE-TS,24,1,1.7028333333333334,46.99250050000001,20.431218381481504
55,ECONOMICS_1,AutoCE-TS,25,1,1.7028333333333334,46.8950005,20.970364870099793
56,ECONOMICS_1,AutoCE-TS,26,1,1.7028333333333334,47.23500075000001,19.573179520490406
57,ECONOMICS_1,AutoCE-TS,27,1,1.7028333333333334,49.75,20.907931902017435
58,ECONOMICS_1,AutoCE-TS,28,1,1.7028333333333334,55.68499925,1342284.8914727913
59,ECONOMICS_1,AutoCE-TS,29,1,1.7028333333333334,61.8324995,20.806195155587346
