iter	Passed	Remaining
407	8550	12406
408	8571	12386
409	8593	12366
410	8613	12343
411	8634	12323
412	8652	12297
413	8675	12280
414	8697	12260
415	8718	12239
416	8736	12215
417	8759	12195
418	8785	12182
419	8806	12161
420	8829	12143
421	8854	12127
422	8877	12109
423	8897	12087
424	8919	12067
425	8937	12041
426	8957	12019
427	8980	12001
428	9005	11986
429	9026	11964
430	9044	11940
431	9065	11918
432	9084	11895
433	9104	11874
434	9124	11851
435	9147	11833
436	9167	11810
437	9185	11786
438	9206	11764
439	9227	11743
440	9247	11721
441	9269	11702
442	9290	11681
443	9312	11661
444	9334	11642
445	9356	11621
446	9377	11600
447	9396	11577
448	9418	11557
449	9438	11535
450	9458	11513
451	9478	11491
452	9497	11468
453	9517	11446
454	9540	11427
455	9562	11407
456	9580	11383
457	9600	11361
458	9620	11338
459	9642	11319
460	9662	11297
461	9682	11275
462	9704	11255
463	9724	11233
464	9744	11211
465	9767	11193
466	9795	11179
467	9811	11153
468	9830	11130
469	9850	11108
470	9872	11087
471	9891	11065
472	9919	11052
473	9939	11030
474	9961	11010
475	9979	10986
476	10001	10965
477	10020	10942
478	10038	10919
479	10057	10895
480	10075	10871
481	10096	10850
482	10115	10827
483	10134	10804
484	10154	10782
485	10171	10757
486	10190	10734
487	10211	10713
488	10229	10690
489	10256	10674
490	10274	10651
491	10294	10629
492	10312	10605
493	10332	10583
494	10350	10559
495	10371	10539
496	10390	10516
497	10415	10499
498	10435	10477
499	10460	10460
500	10480	10438
501	10500	10417
502	10525	10400
503	10545	10378
504	10566	10357
505	10585	10334
506	10605	10312
507	10627	10292
508	10651	10275
509	10676	10257
510	10698	10237
511	10718	10215
512	10735	10191
513	10759	10173
514	10779	10151
515	10798	10129
516	10816	10105
517	10837	10084
518	10856	10061
519	10876	10039
520	10896	10018
521	10920	9999
522	10938	9976
523	10961	9956
524	10979	9934
525	11000	9913
526	11021	9891
527	11041	9870
528	11067	9853
529	11084	9830
530	11105	9809
531	11124	9785
532	11142	9762
533	11161	9740
534	11184	9721
535	11209	9703
536	11226	9679
537	11246	9657
538	11265	9635
539	11281	9610
540	11300	9587
541	11317	9563
542	11336	9541
543	11355	9518
