Date,open,high,low,close,AVG
2001-01-02,0.9507,0.9509,0.9505,0.9507,0.9507
2001-01-03,0.9506,0.9569,0.9262,0.9507,0.9461
2001-01-04,0.9283,0.9536,0.9283,0.9283,0.934625
2001-01-05,0.9532,0.9591,0.9464,0.9532,0.952975
2001-01-07,0.9583,0.9585,0.9576,0.9583,0.958175
2001-01-08,0.9584,0.9588,0.9459,0.9584,0.955375
2001-01-09,0.9464,0.9477,0.9384,0.9464,0.944725
2001-01-10,0.9434,0.9464,0.9361,0.9434,0.9423250000000001
2001-01-11,0.9366,0.9549,0.9366,0.9366,0.941175
2001-01-12,0.951,0.9575,0.9468,0.951,0.951575
2001-01-14,0.9521,0.9521,0.9502,0.9521,0.951625
2001-01-15,0.9499,0.9507,0.9408,0.9499,0.9478249999999999
2001-01-16,0.9418,0.9431,0.9371,0.9418,0.94095
2001-01-17,0.9421,0.9442,0.9288,0.942,0.939275
2001-01-18,0.9362,0.946,0.9359,0.9362,0.9385749999999999
2001-01-19,0.9427,0.9499,0.9337,0.9427,0.94225
2001-01-21,0.9345,0.9352,0.934,0.9345,0.93455
2001-01-22,0.9349,0.9401,0.9269,0.9349,0.9341999999999999
2001-01-23,0.9387,0.9447,0.9343,0.9386,0.939075
2001-01-24,0.9355,0.9369,0.9209,0.9355,0.9322
2001-01-25,0.9233,0.9253,0.9114,0.9233,0.920825
2001-01-26,0.9245,0.9314,0.9198,0.9245,0.92505
2001-01-28,0.9236,0.9237,0.9234,0.9236,0.923575
2001-01-29,0.9237,0.9258,0.9159,0.9237,0.9222750000000001
2001-01-30,0.9179,0.9276,0.9143,0.9179,0.9194249999999999
2001-01-31,0.9263,0.9374,0.9253,0.9262,0.9288000000000001
2001-02-01,0.937,0.9442,0.9362,0.9368,0.93855
2001-02-02,0.9374,0.9417,0.9318,0.937,0.936975
2001-02-04,0.9351,0.9363,0.9351,0.9352,0.935425
2001-02-05,0.9362,0.9438,0.9362,0.9362,0.9381
2001-02-06,0.9374,0.9383,0.9283,0.9374,0.93535
2001-02-07,0.9308,0.9347,0.9257,0.9307,0.9304749999999999
2001-02-08,0.9286,0.9298,0.9149,0.9286,0.925475
2001-02-09,0.9186,0.927,0.9131,0.9186,0.919325
2001-02-11,0.9254,0.9254,0.9247,0.9254,0.9252250000000001
2001-02-12,0.9247,0.9327,0.9247,0.9247,0.9267
2001-02-13,0.9319,0.9326,0.917,0.9319,0.92835
2001-02-14,0.9198,0.9216,0.9164,0.9198,0.9193999999999999
2001-02-15,0.918,0.9193,0.9024,0.9179,0.9144000000000001
2001-02-16,0.9052,0.9172,0.9051,0.9052,0.908175
2001-02-18,0.9126,0.913,0.9121,0.9124,0.912525
2001-02-19,0.9121,0.9233,0.912,0.9121,0.914875
2001-02-20,0.921,0.9236,0.9049,0.9209,0.9176000000000001
2001-02-21,0.9093,0.918,0.9056,0.9093,0.91055
2001-02-22,0.9097,0.9128,0.9014,0.9099,0.90845
2001-02-23,0.9049,0.9204,0.9025,0.9047,0.908125
2001-02-25,0.9173,0.9174,0.9168,0.9173,0.9171999999999999
2001-02-26,0.9172,0.9183,0.9078,0.9172,0.915125
2001-02-27,0.9083,0.9203,0.9083,0.9083,0.9113
2001-02-28,0.9177,0.9253,0.916,0.9177,0.919175
2001-03-01,0.9233,0.9318,0.9225,0.9233,0.925225
2001-03-02,0.9305,0.9377,0.9288,0.9308,0.93195
2001-03-04,0.9361,0.9364,0.9349,0.9361,0.935875
2001-03-05,0.935,0.9352,0.9263,0.935,0.932875
2001-03-06,0.9269,0.9345,0.925,0.9269,0.9283250000000001
2001-03-07,0.9331,0.9368,0.9262,0.9331,0.9323
2001-03-08,0.9287,0.9337,0.9271,0.9286,0.9295249999999999
2001-03-09,0.9327,0.937,0.9292,0.9327,0.9329000000000001
2001-03-11,0.9316,0.932,0.9313,0.9316,0.9316249999999999
2001-03-12,0.9319,0.9339,0.9258,0.932,0.9309000000000001
2001-03-13,0.929,0.9298,0.9128,0.929,0.9251499999999999
2001-03-14,0.9138,0.9207,0.9077,0.9138,0.9139999999999999
2001-03-15,0.9107,0.9124,0.8953,0.9107,0.907275
2001-03-16,0.8984,0.8999,0.8913,0.8985,0.897025
2001-03-18,0.8967,0.8973,0.8967,0.8967,0.89685
2001-03-19,0.8967,0.9017,0.8933,0.8967,0.8971
2001-03-20,0.8988,0.912,0.8986,0.8988,0.90205
2001-03-21,0.9114,0.912,0.8932,0.9114,0.907
2001-03-22,0.8954,0.8963,0.8832,0.8955,0.8926
2001-03-23,0.8873,0.8964,0.8852,0.8873,0.8890499999999999
2001-03-25,0.8908,0.8908,0.8887,0.8908,0.890275
2001-03-26,0.8887,0.8976,0.8885,0.8887,0.890875
2001-03-27,0.8972,0.8989,0.8896,0.8972,0.8957249999999999
2001-03-28,0.8933,0.8944,0.8844,0.8933,0.89135
2001-03-29,0.8861,0.8882,0.8796,0.8861,0.885
2001-03-30,0.8823,0.8873,0.8748,0.8824,0.8817
2001-04-01,0.8742,0.8755,0.8735,0.8741,0.874325
2001-04-02,0.8752,0.8832,0.8743,0.8753,0.877
2001-04-03,0.8811,0.8983,0.8808,0.881,0.8853
2001-04-04,0.8974,0.9047,0.8933,0.8974,0.8982
2001-04-05,0.9017,0.9086,0.8942,0.902,0.901625
2001-04-06,0.896,0.9046,0.8924,0.896,0.89725
2001-04-08,0.9033,0.9041,0.9029,0.9032,0.903375
2001-04-09,0.9031,0.9045,0.8945,0.9031,0.9013
2001-04-10,0.8949,0.899,0.8865,0.8949,0.893825
2001-04-11,0.8892,0.8913,0.8809,0.8892,0.8876499999999999
2001-04-12,0.8879,0.894,0.8835,0.8878,0.8883000000000001
2001-04-13,0.8923,0.8933,0.8878,0.8923,0.891425
2001-04-15,0.8886,0.8896,0.8884,0.8885,0.8887749999999999
2001-04-16,0.889,0.89,0.8837,0.889,0.8879250000000001
2001-04-17,0.8884,0.8907,0.8775,0.8884,0.88625
2001-04-18,0.8824,0.8893,0.8698,0.8824,0.880975
2001-04-19,0.8834,0.8985,0.8805,0.8834,0.88645
2001-04-20,0.8972,0.9045,0.8952,0.8971,0.8985
2001-04-22,0.9012,0.9033,0.9012,0.9013,0.90175
2001-04-23,0.9033,0.9077,0.8945,0.9033,0.9021999999999999
2001-04-24,0.8972,0.9016,0.893,0.8971,0.8972249999999999
