Date,Open,High,Low,Close,Volume,AVG
1985-01-29,1277.719971,1295.48999,1266.890015,1292.619995,13560000,1283.17999275
1985-01-30,1297.369995,1305.099976,1278.930054,1287.880005,16820000,1292.3200075
1985-01-31,1283.23999,1293.400024,1272.640015,1286.77002,14070000,1284.01251225
1985-02-01,1276.939941,1286.109985,1269.77002,1277.719971,10980000,1277.63497925
1985-02-04,1272.079956,1294.939941,1268.98999,1290.079956,11630000,1281.52246075
1985-02-05,1294.060059,1301.130005,1278.599976,1285.22998,13800000,1289.755005
1985-02-06,1284.890015,1294.5,1275.069946,1280.589966,14610000,1283.76248175
1985-02-07,1285.0,1297.040039,1279.810059,1290.079956,11440000,1287.9825134999999
1985-02-08,1290.079956,1297.150024,1281.359985,1289.969971,8000000,1289.639984
1985-02-11,1287.98999,1291.73999,1268.660034,1276.060059,12600000,1281.11251825
1985-02-12,1271.199951,1283.130005,1266.339966,1276.609985,11870000,1274.31997675
1985-02-13,1277.829956,1304.660034,1274.51001,1297.920044,14050000,1288.7300109999999
1985-02-14,1301.790039,1307.530029,1283.680054,1287.880005,14020000,1295.22003175
1985-02-15,1289.199951,1296.27002,1275.069946,1282.02002,8730000,1285.63998425
1985-02-19,1279.810059,1287.430054,1273.52002,1280.589966,6690000,1280.3375247499996
1985-02-20,1280.150024,1292.51001,1272.530029,1283.130005,10760000,1282.080017
1985-02-21,1280.369995,1287.099976,1272.640015,1279.040039,8600000,1279.78750625
1985-02-22,1277.939941,1286.550049,1269.98999,1275.839966,8500000,1277.5799865000001
1985-02-25,1269.98999,1283.130005,1263.910034,1277.5,8420000,1273.63250725
1985-02-26,1276.280029,1293.180054,1272.310059,1286.109985,11910000,1281.97003175
1985-02-27,1285.670044,1295.27002,1274.400024,1281.030029,11900000,1284.09252925
1985-02-28,1278.050049,1288.319946,1271.420044,1284.01001,8790000,1280.45001225
1985-03-01,1285.339966,1309.959961,1282.689941,1299.359985,14730000,1294.33746325
1985-03-04,1299.910034,1304.550049,1283.130005,1289.530029,12010000,1294.28002925
1985-03-05,1290.079956,1300.02002,1281.030029,1291.849976,10060000,1290.74499525
1985-03-06,1291.849976,1296.930054,1275.51001,1280.369995,10990000,1286.16500875
1985-03-07,1276.829956,1283.23999,1265.459961,1271.530029,9870000,1274.264984
1985-03-08,1273.410034,1280.810059,1264.130005,1269.660034,9120000,1272.002533
1985-03-11,1268.77002,1277.050049,1260.930054,1268.550049,7710000,1268.8250429999996
1985-03-12,1267.560059,1279.47998,1262.47998,1271.75,8340000,1270.31750475
1985-03-13,1270.97998,1278.27002,1257.619995,1261.699951,8840000,1267.1424865000001
1985-03-14,1258.719971,1269.209961,1254.199951,1260.050049,7950000,1260.544983
1985-03-15,1259.719971,1266.890015,1245.140015,1247.349976,11280000,1254.77499425
1985-03-18,1252.650024,1260.930054,1242.819946,1249.670044,8270000,1251.517517
1985-03-19,1249.01001,1274.180054,1245.689941,1271.089966,8990000,1259.99249275
1985-03-20,1271.530029,1277.390015,1257.839966,1265.23999,10540000,1268.0
1985-03-21,1263.800049,1278.930054,1257.619995,1268.219971,9630000,1267.14251725
1985-03-22,1272.420044,1277.390015,1261.699951,1267.449951,7800000,1269.73999025
1985-03-25,1261.699951,1268.329956,1252.869995,1259.939941,7930000,1260.70996075
1985-03-26,1257.069946,1267.560059,1252.099976,1259.719971,9520000,1259.112488
1985-03-27,1260.160034,1270.869995,1255.959961,1264.910034,8960000,1262.975006
1985-03-28,1265.900024,1275.51001,1256.630005,1260.709961,8700000,1264.6875
1985-03-29,1263.469971,1270.650024,1255.849976,1266.780029,9810000,1264.1875
1985-04-01,1264.800049,1276.280029,1260.48999,1272.75,6930000,1268.580017
1985-04-02,1273.959961,1280.150024,1261.47998,1265.680054,8460000,1270.31750475
1985-04-03,1264.689941,1268.109985,1251.550049,1258.060059,9310000,1260.6025085
1985-04-04,1256.290039,1264.23999,1248.339966,1259.050049,6920000,1256.9800109999999
1985-04-08,1259.5,1267.01001,1246.02002,1252.97998,7940000,1256.3775025
1985-04-09,1252.209961,1262.040039,1246.579956,1253.859985,8010000,1253.67248525
1985-04-10,1256.849976,1269.099976,1252.099976,1259.939941,9130000,1259.49746725
1985-04-11,1265.23999,1274.849976,1257.180054,1263.689941,10800000,1265.23999025
