,type_experiment,name_dataset,step_ahead,num_variables,nrmse
103,A,ENERGIA_1,4,135,0.10194890939252636
104,A,ENERGIA_1,5,135,0.1341459859845721
105,B,ENERGIA_1,1,6,0.09699440952440508
106,B,ENERGIA_1,2,6,0.10820182576953842
107,B,ENERGIA_1,3,6,0.12085879368810612
108,B,ENERGIA_1,4,6,0.15289967457535403
109,B,ENERGIA_1,5,6,0.16249321147825202
110,B,ENERGIA_1,1,9,0.03771903433714291
111,B,ENERGIA_1,2,9,0.0476484962331923
112,B,ENERGIA_1,3,9,0.08325667590630503
113,B,ENERGIA_1,4,9,0.10529634058789002
114,B,ENERGIA_1,5,9,0.13793291101914532
115,B,ENERGIA_1,1,11,0.03482856721323868
116,B,ENERGIA_1,2,11,0.045490088608706056
117,B,ENERGIA_1,3,11,0.06750943661391319
118,B,ENERGIA_1,4,11,0.0971944558573722
119,B,ENERGIA_1,5,11,0.130222125844281
120,C,ENERGIA_1,1,0,0.037688228056310016
121,C,ENERGIA_1,2,0,0.03792799224371614
122,C,ENERGIA_1,3,0,0.06501168863704997
123,C,ENERGIA_1,4,0,0.08105807678858952
124,C,ENERGIA_1,5,0,0.10934556855512825
125,C,ENERGIA_1,1,0,0.05865749381740463
126,C,ENERGIA_1,2,0,0.06053481403368932
127,C,ENERGIA_1,3,0,0.07986726755835087
128,C,ENERGIA_1,4,0,0.09910564916362459
129,C,ENERGIA_1,5,0,0.11648271809464605
130,C,ENERGIA_1,1,0,0.06914725932725163
131,C,ENERGIA_1,2,0,0.06870175337801222
132,C,ENERGIA_1,3,0,0.09774514620725268
133,C,ENERGIA_1,4,0,0.10944649492773982
134,C,ENERGIA_1,5,0,0.13961060420228855
135,A,IOT_5,1,65,0.22158595547686752
136,A,IOT_5,2,65,0.24963053074344557
137,A,IOT_5,3,65,0.30720754900607783
138,A,IOT_5,4,65,0.42070425997830513
139,A,IOT_5,5,65,0.4023746655371665
140,B,IOT_5,1,9,0.22505499276686478
141,B,IOT_5,2,9,0.1671296998375696
142,B,IOT_5,3,9,0.18363491280868044
143,B,IOT_5,4,9,0.21088155452452798
144,B,IOT_5,5,9,0.3157911401506277
145,B,IOT_5,1,9,0.15281329176053468
146,B,IOT_5,2,9,0.3029004354718813
147,B,IOT_5,3,9,0.32905750242489457
148,B,IOT_5,4,9,0.39769141473531383
149,B,IOT_5,5,9,0.4014036204286584
150,B,IOT_5,1,7,0.16306362272280325
151,B,IOT_5,2,7,0.18321611496741022
152,B,IOT_5,3,7,0.25852568128726355
153,B,IOT_5,4,7,0.2899467043433048
154,B,IOT_5,5,7,0.2635164077598469
155,B,IOT_5,1,8,0.13769773559051418
156,B,IOT_5,2,8,0.2659453927079406
157,B,IOT_5,3,8,0.3574853232560354
158,B,IOT_5,4,8,0.41040309251853874
159,B,IOT_5,5,8,0.4785480165872643
160,C,IOT_5,1,0,0.13516172089016046
161,C,IOT_5,2,0,0.14658186978865576
162,C,IOT_5,3,0,0.2579987320611312
163,C,IOT_5,4,0,0.2088705154087068
164,C,IOT_5,5,0,0.2730689407642087
165,C,IOT_5,1,0,0.22194261571974175
166,C,IOT_5,2,0,0.22276500425591514
167,C,IOT_5,3,0,0.22823205232195692
168,C,IOT_5,4,0,0.2857251628314235
169,C,IOT_5,5,0,0.31170976999256816
170,C,IOT_5,1,0,0.2398995389661058
171,C,IOT_5,2,0,0.24657021130907614
172,C,IOT_5,3,0,0.17888615890914433
173,C,IOT_5,4,0,0.25098586726037825
174,C,IOT_5,5,0,0.3003408465753547
175,A,IOT_5,1,60,0.10434829671252838
